,values,CDF
1,3,0.998650102
2,4,0.999968329
3,10,1
4,5,0.999999713
5,5,0.999999713
6,10,1
7,6,0.999999999
8,1,0.841344746
9,3,0.998650102
10,4,0.999968329
11,9,1
12,6,0.999999999
13,6,0.999999999
14,5,0.999999713
15,3,0.998650102
16,10,1
17,6,0.999999999
18,0,0.5
19,7,1
20,4,0.999968329
21,2,0.977249868
22,4,0.999968329
23,2,0.977249868
24,3,0.998650102
25,3,0.998650102
26,0,0.5
27,8,1
28,5,0.999999713
29,2,0.977249868
30,9,1
31,6,0.999999999
32,4,0.999968329
33,8,1
34,8,1
35,7,1
36,7,1
37,7,1
38,5,0.999999713
39,4,0.999968329
40,4,0.999968329
41,3,0.998650102
42,4,0.999968329
43,1,0.841344746
44,12,1
45,9,1
46,2,0.977249868
47,4,0.999968329
48,4,0.999968329
49,7,1
50,5,0.999999713
51,6,0.999999999
52,5,0.999999713
53,5,0.999999713
54,9,1
55,4,0.999968329
56,10,1
57,0,0.5
58,7,1
59,5,0.999999713
60,6,0.999999999
61,6,0.999999999
62,3,0.998650102
63,4,0.999968329
64,2,0.977249868
65,2,0.977249868
66,6,0.999999999
67,6,0.999999999
68,5,0.999999713
69,8,1
70,11,1
71,4,0.999968329
72,0,0.5
73,8,1
74,3,0.998650102
75,3,0.998650102
76,8,1
77,4,0.999968329
78,1,0.841344746
79,6,0.999999999
80,5,0.999999713
81,5,0.999999713
82,6,0.999999999
83,4,0.999968329
84,7,1
85,4,0.999968329
86,6,0.999999999
87,8,1
88,6,0.999999999
89,4,0.999968329
90,8,1
91,8,1
92,7,1
93,6,0.999999999
94,3,0.998650102
95,9,1
96,3,0.998650102
97,12,1
98,10,1
99,4,0.999968329
100,2,0.977249868
101,3,0.998650102
102,6,0.999999999
103,4,0.999968329
104,4,0.999968329
105,2,0.977249868
106,5,0.999999713
107,3,0.998650102
108,0,0.5
109,4,0.999968329
110,8,1
111,3,0.998650102
112,7,1
113,0,0.5
114,5,0.999999713
115,7,1
116,6,0.999999999
117,5,0.999999713
118,3,0.998650102
119,2,0.977249868
120,2,0.977249868
121,5,0.999999713
122,2,0.977249868
123,4,0.999968329
124,4,0.999968329
125,11,1
126,3,0.998650102
127,6,0.999999999
128,5,0.999999713
129,2,0.977249868
130,5,0.999999713
131,9,1
132,6,0.999999999
133,5,0.999999713
134,4,0.999968329
135,0,0.5
136,8,1
137,1,0.841344746
138,7,1
139,11,1
140,1,0.841344746
141,7,1
142,4,0.999968329
143,0,0.5
144,0,0.5
145,0,0.5
146,3,0.998650102
147,1,0.841344746
148,7,1
149,11,1
150,1,0.841344746
151,7,1
152,7,1
153,6,0.999999999
154,2,0.977249868
155,5,0.999999713
156,4,0.999968329
157,7,1
158,4,0.999968329
159,8,1
160,4,0.999968329
161,8,1
162,2,0.977249868
163,1,0.841344746
164,15,1
165,4,0.999968329
166,6,0.999999999
167,7,1
168,4,0.999968329
169,7,1
170,6,0.999999999
171,4,0.999968329
172,5,0.999999713
173,5,0.999999713
174,11,1
175,3,0.998650102
176,2,0.977249868
177,5,0.999999713
178,6,0.999999999
179,6,0.999999999
180,4,0.999968329
181,2,0.977249868
182,9,1
183,4,0.999968329
184,2,0.977249868
185,4,0.999968329
186,4,0.999968329
187,8,1
188,5,0.999999713
189,7,1
190,4,0.999968329
191,6,0.999999999
192,4,0.999968329
193,5,0.999999713
194,2,0.977249868
195,1,0.841344746
196,11,1
197,7,1
198,1,0.841344746
199,3,0.998650102
200,1,0.841344746
201,12,1
202,9,1
203,4,0.999968329
204,7,1
205,4,0.999968329
206,4,0.999968329
207,3,0.998650102
208,3,0.998650102
209,10,1
210,5,0.999999713
211,5,0.999999713
212,6,0.999999999
213,9,1
214,3,0.998650102
215,2,0.977249868
216,10,1
217,4,0.999968329
218,3,0.998650102
219,1,0.841344746
220,1,0.841344746
221,3,0.998650102
222,7,1
223,8,1
224,7,1
225,4,0.999968329
226,5,0.999999713
227,3,0.998650102
228,3,0.998650102
229,8,1
230,2,0.977249868
231,11,1
232,5,0.999999713
233,6,0.999999999
234,3,0.998650102
235,3,0.998650102
236,1,0.841344746
237,4,0.999968329
238,6,0.999999999
239,6,0.999999999
240,3,0.998650102
241,3,0.998650102
242,3,0.998650102
243,9,1
244,2,0.977249868
245,4,0.999968329
246,11,1
247,5,0.999999713
248,1,0.841344746
249,3,0.998650102
250,6,0.999999999
251,4,0.999968329
252,3,0.998650102
253,4,0.999968329
254,5,0.999999713
255,10,1
256,5,0.999999713
257,8,1
258,7,1
259,5,0.999999713
260,0,0.5
261,3,0.998650102
262,4,0.999968329
263,5,0.999999713
264,9,1
265,12,1
266,10,1
267,5,0.999999713
268,0,0.5
269,4,0.999968329
270,5,0.999999713
271,8,1
272,8,1
273,7,1
274,1,0.841344746
275,8,1
276,4,0.999968329
277,6,0.999999999
278,5,0.999999713
279,6,0.999999999
280,5,0.999999713
281,0,0.5
282,7,1
283,6,0.999999999
284,4,0.999968329
285,5,0.999999713
286,5,0.999999713
287,6,0.999999999
288,10,1
289,4,0.999968329
290,6,0.999999999
291,9,1
292,8,1
293,8,1
294,3,0.998650102
295,11,1
296,5,0.999999713
297,11,1
298,1,0.841344746
299,5,0.999999713
300,9,1
301,3,0.998650102
302,3,0.998650102
303,2,0.977249868
304,2,0.977249868
305,4,0.999968329
306,6,0.999999999
307,0,0.5
308,6,0.999999999
309,9,1
310,11,1
311,9,1
312,7,1
313,0,0.5
314,3,0.998650102
315,4,0.999968329
316,7,1
317,5,0.999999713
318,1,0.841344746
319,10,1
320,8,1
321,6,0.999999999
322,9,1
323,1,0.841344746
324,7,1
325,3,0.998650102
326,7,1
327,5,0.999999713
328,7,1
329,9,1
330,5,0.999999713
331,8,1
332,1,0.841344746
333,3,0.998650102
334,10,1
335,6,0.999999999
336,0,0.5
337,1,0.841344746
338,4,0.999968329
339,8,1
340,5,0.999999713
341,7,1
342,8,1
343,10,1
344,5,0.999999713
345,5,0.999999713
346,0,0.5
347,5,0.999999713
348,3,0.998650102
349,2,0.977249868
350,4,0.999968329
351,8,1
352,0,0.5
353,4,0.999968329
354,5,0.999999713
355,2,0.977249868
356,6,0.999999999
357,6,0.999999999
358,5,0.999999713
359,0,0.5
360,13,1
361,4,0.999968329
362,7,1
363,6,0.999999999
364,8,1
365,7,1
366,4,0.999968329
367,6,0.999999999
368,2,0.977249868
369,8,1
370,4,0.999968329
371,12,1
372,0,0.5
373,4,0.999968329
374,7,1
375,7,1
376,3,0.998650102
377,2,0.977249868
378,5,0.999999713
379,5,0.999999713
380,0,0.5
381,5,0.999999713
382,6,0.999999999
383,6,0.999999999
384,2,0.977249868
385,6,0.999999999
386,9,1
387,6,0.999999999
388,2,0.977249868
389,4,0.999968329
390,6,0.999999999
391,3,0.998650102
392,0,0.5
393,8,1
394,3,0.998650102
395,3,0.998650102
396,10,1
397,3,0.998650102
398,8,1
399,1,0.841344746
400,4,0.999968329
401,5,0.999999713
402,1,0.841344746
403,3,0.998650102
404,5,0.999999713
405,7,1
406,0,0.5
407,4,0.999968329
408,7,1
409,3,0.998650102
410,6,0.999999999
411,6,0.999999999
412,6,0.999999999
413,7,1
414,5,0.999999713
415,4,0.999968329
416,0,0.5
417,5,0.999999713
418,6,0.999999999
419,7,1
420,3,0.998650102
421,10,1
422,6,0.999999999
423,5,0.999999713
424,9,1
425,3,0.998650102
426,4,0.999968329
427,12,1
428,5,0.999999713
429,10,1
430,1,0.841344746
431,4,0.999968329
432,6,0.999999999
433,6,0.999999999
434,2,0.977249868
435,5,0.999999713
436,2,0.977249868
437,7,1
438,8,1
439,0,0.5
440,9,1
441,1,0.841344746
442,6,0.999999999
443,7,1
444,4,0.999968329
445,3,0.998650102
446,5,0.999999713
447,6,0.999999999
448,8,1
449,0,0.5
450,0,0.5
451,9,1
452,8,1
453,6,0.999999999
454,7,1
455,8,1
456,0,0.5
457,8,1
458,4,0.999968329
459,6,0.999999999
460,4,0.999968329
461,8,1
462,4,0.999968329
463,7,1
464,4,0.999968329
465,2,0.977249868
466,9,1
467,7,1
468,10,1
469,5,0.999999713
470,8,1
471,11,1
472,4,0.999968329
473,1,0.841344746
474,4,0.999968329
475,4,0.999968329
476,5,0.999999713
477,10,1
478,4,0.999968329
479,6,0.999999999
480,4,0.999968329
481,5,0.999999713
482,6,0.999999999
483,9,1
484,5,0.999999713
485,7,1
486,7,1
487,8,1
488,3,0.998650102
489,10,1
490,4,0.999968329
491,5,0.999999713
492,9,1
493,9,1
494,2,0.977249868
495,2,0.977249868
496,1,0.841344746
497,6,0.999999999
498,5,0.999999713
499,6,0.999999999
500,7,1
501,3,0.998650102
502,2,0.977249868
503,8,1
504,7,1
505,0,0.5
506,5,0.999999713
507,2,0.977249868
508,0,0.5
509,5,0.999999713
510,5,0.999999713
511,5,0.999999713
512,6,0.999999999
513,8,1
514,6,0.999999999
515,3,0.998650102
516,3,0.998650102
517,5,0.999999713
518,6,0.999999999
519,2,0.977249868
520,4,0.999968329
521,8,1
522,5,0.999999713
523,3,0.998650102
524,4,0.999968329
525,8,1
526,7,1
527,9,1
528,5,0.999999713
529,6,0.999999999
530,3,0.998650102
531,7,1
532,3,0.998650102
533,1,0.841344746
534,5,0.999999713
535,11,1
536,7,1
537,8,1
538,6,0.999999999
539,3,0.998650102
540,4,0.999968329
541,4,0.999968329
542,4,0.999968329
543,7,1
544,1,0.841344746
545,8,1
546,8,1
547,1,0.841344746
548,7,1
549,12,1
550,3,0.998650102
551,8,1
552,3,0.998650102
553,8,1
554,6,0.999999999
555,10,1
556,1,0.841344746
557,5,0.999999713
558,3,0.998650102
559,4,0.999968329
560,3,0.998650102
561,2,0.977249868
562,7,1
563,2,0.977249868
564,9,1
565,1,0.841344746
566,5,0.999999713
567,7,1
568,7,1
569,4,0.999968329
570,5,0.999999713
571,8,1
572,1,0.841344746
573,3,0.998650102
574,6,0.999999999
575,4,0.999968329
576,9,1
577,7,1
578,5,0.999999713
579,0,0.5
